El;EDm;SFm;RTm;RGm;class
0.002211;4.404.234;107.067.248;63.557.135;68.050.005;?
0.005037;6.166.220;238.713.047;77.543.576;82.960.007;?
0.002770;3.578.529;159.071.806;49.573.068;60.317.923;?
0.002150;5.060.322;147.741.431;71.750.927;72.846.802;?
0.004069;6.769.437;244.768.699;54.368.435;54.320.102;?
;;;;;
0.004825;4.792.225;230.010.271;66.937.652;77.831.412;?
0.006271;3.853.887;216.243.252;68.919.295;73.573.569;?
0.002083;3.676.471;115.303.139;92.056.056;102.466.769;?
0.006225;3.682.625;226.469.573;62.175.530;65.565.755;?
0.003294;2.485.089;110.531.624;66.583.225;71.673.833;?
;;;;;
;;;;;
0.001984;1.559.907;62.040.218;91.461.215;100.374.600;?
0.002729;2.522.403;95.909.535;105.660.864;108.803.863;?
0.001712;1.766.667;78.092.309;117.374.399;127.862.217;?
0.003354;2.323.266;76.549.355;126.761.249;124.574.585;?
0.003724;2.264.402;119.524.082;69.205.734;88.057.947;?
;;;;;
;;;;;
;;;;;
0.003738;2.077.748;127.354.167;89.960.330;97.355.578;?
0.001756;0.854993 ;47.809.290;127.626.592;140.140.016;?
0.003153;3.442.513;139.963.714;93.687.512;99.329.212;?
0.002612;1.825.423;72.791.738;142.981.798;150.919.311;?
0.002209;3.080.640;93.254.846;100.640.291;119.460.705;?
