EDm,RGm,El,SFm,RTm,class
4404234,68050005,0.002211,107067248,63557135,
6166220,82960007,0.005037,238713047,77543576,
3578529,60317923,0.002770,159071806,49573068,
5060322,72846802,0.002150,147741431,71750927,
6769437,54320102,0.004069,244768699,54368435,

4792225,77831412,0.004825,230010271,66937652,
3853887,73573569,0.006271,216243252,68919295,
3676471,102466769,0.002083,115303139,92056056,
3682625,65565755,0.006225,226469573,62175530,
2485089,71673833,0.003294,110531624,66583225,


1559907,100374600,0.001984,62040218,91461215,
2522403,108803863,0.002729,95909535,105660864,
1766667,127862217,0.001712,78092309,117374399,
2323266,124574585,0.003354,76549355,126761249,
2264402,88057947,0.003724,119524082,69205734,



2077748,97355578,0.003738,127354167,89960330,
0.854993 ,140140016,0.001756,47809290,127626592,
3442513,99329212,0.003153,139963714,93687512,
1825423,150919311,0.002612,72791738,142981798,
3080640,119460705,0.002209,93254846,100640291,
